step,n_images,k_samples,psnr_mean_db,psnr_sample_db,psnr_baseline_db,lpips_sample,lpips_baseline,std_median,nvr,edge_spearman,relmeas_median_f64,relmeas_p95_f64,relmeas_max_f64,g_cal,g_div,g_nvr,g_mean,g_cert,g_perc,gates_passed
2000,128,8,14.762670188300806,7.466538754508702,22.75232050515259,0.4400015145947691,0.22333288885420188,0.3867883886957182,3.193287399913378,0.11979029064802943,6.942352364309858e-07,1.1404936345699739e-06,3.2195401478261535e-06,FAIL,FAIL,PASS,FAIL,WARN,FAIL,2
4000,128,8,11.58002936701726,5.872067680862367,22.75232050515259,0.4356579689483624,0.22333288885420188,0.468698319660823,4.236172438669783,-0.028069083851121966,7.765937377028837e-07,1.3110113092014251e-06,3.897220481899195e-06,FAIL,FAIL,PASS,FAIL,WARN,FAIL,2
6000,128,8,10.321067141421231,5.800687591469405,22.75232050515259,0.444257603114238,0.22333288885420188,0.4841229182759271,4.504249716751907,-0.04446081014199213,8.521184511298907e-07,1.3897143605996383e-06,4.556454103437212e-06,FAIL,FAIL,PASS,FAIL,WARN,FAIL,2
8000,128,8,9.848400030379803,6.059310684468764,22.75232050515259,0.44419782803743146,0.22333288885420188,0.4841229182759271,4.685453037782563,-0.049377939309425245,1.0222000397350441e-06,1.6378191111985392e-06,5.5232274626104175e-06,FAIL,FAIL,PASS,FAIL,WARN,FAIL,2
10000,128,8,9.346534836950612,6.076973987662605,22.75232050515259,0.446704758607666,0.22333288885420188,0.4841229182759271,4.680604262356532,-0.04582917903042734,1.2326886527247434e-06,1.9499885119284806e-06,5.902267422166573e-06,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
12000,128,8,8.893163828904598,5.727765689919163,22.75232050515259,0.45542011177167296,0.22333288885420188,0.4841229182759271,4.763823877989621,-0.05580253787455608,1.3735652793092532e-06,2.229571321638444e-06,7.647684662408937e-06,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
14000,128,8,8.31438532256858,5.86331546999588,22.75232050515259,0.45719371012819465,0.22333288885420188,0.4841229182759271,4.766400714702954,-0.04720027231850864,1.4997894464731963e-06,2.4004363174258545e-06,9.401828489152606e-06,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
16000,128,8,7.479174740910256,5.526256502813764,22.75232050515259,0.4615381182084093,0.22333288885420188,0.4841229182759271,4.7422884911887495,-0.05689096096539368,1.7165748275761061e-06,2.731749722142588e-06,8.035915476430257e-06,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
18000,128,8,7.3508764067990615,5.525845038988985,22.75232050515259,0.46406854048836976,0.22333288885420188,0.4841229182759271,4.745732115169225,-0.04887087095833818,2.0299606413116547e-06,3.1402431608135005e-06,1.0131117707841145e-05,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
20000,128,8,7.724711269065567,5.744554564558534,22.75232050515259,0.4603513366600964,0.22333288885420188,0.4841229182759271,4.836135406099794,-0.050983404271676414,2.2751226300552017e-06,3.605837383458355e-06,1.0709635462086562e-05,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
20000,512,8,7.56333453332514,5.80853834673375,22.25258505414529,0.4516906832905079,0.23191990095801884,0.4841229182759271,4.84849509925318,-0.037883701842967715,2.273324425865251e-06,3.83009806640472e-06,1.0863705351820267e-05,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
