step,n_images,k_samples,psnr_mean_db,psnr_sample_db,psnr_baseline_db,lpips_sample,lpips_baseline,std_median,nvr,edge_spearman,relmeas_median_f64,relmeas_p95_f64,relmeas_max_f64,g_cal,g_div,g_nvr,g_mean,g_cert,g_perc,gates_passed
2000,128,8,14.531780693111935,7.507499877604785,22.75232050515259,0.5287961854191963,0.22333288885420188,0.37578766218893556,3.1040524221931785,0.13729207299700896,7.057904096300933e-07,1.1672186625031138e-06,3.356651219132609e-06,FAIL,FAIL,PASS,FAIL,WARN,FAIL,2
4000,128,8,10.835152888846231,5.8642646707410755,22.75232050515259,0.4237981710029999,0.22333288885420188,0.4677248566243327,4.308161745210806,-0.016397817034309654,8.014534178950296e-07,1.2980823141488444e-06,4.513160048270821e-06,FAIL,FAIL,PASS,FAIL,WARN,FAIL,2
6000,128,8,9.631981715060535,5.855467819193378,22.75232050515259,0.4270433674682863,0.22333288885420188,0.4841229182759271,4.564142193531905,-0.035962436297311925,9.967448349625944e-07,1.5682171341980568e-06,5.667152880914028e-06,FAIL,FAIL,PASS,FAIL,WARN,FAIL,2
8000,128,8,8.894340632573678,5.754180406645544,22.75232050515259,0.4339338246791158,0.22333288885420188,0.4841229182759271,4.6669337465303045,-0.03997229439479172,1.2123259526427603e-06,2.0095187796166663e-06,6.129905811376008e-06,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
10000,128,8,8.179534573262925,5.66475808281656,22.75232050515259,0.4409758879774017,0.22333288885420188,0.4841229182759271,4.7223564144433485,-0.037036119647622275,1.3761685175644298e-06,2.260443574795798e-06,7.509022203638449e-06,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
12000,128,8,7.283841879107591,5.438248073638375,22.75232050515259,0.45103401147935074,0.22333288885420188,0.4841229182759271,4.713248855714877,-0.0449085722847727,1.5523741455999978e-06,2.4543792664475634e-06,8.977322805138032e-06,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
14000,128,8,7.926279685378397,5.767100759366058,22.75232050515259,0.4513464636547724,0.22333288885420188,0.4841229182759271,4.759810084726232,-0.03900519360043462,1.8312121772346958e-06,2.8417803660744997e-06,1.2152255925626555e-05,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
16000,128,8,7.700559811036602,5.722290142582663,22.75232050515259,0.4491431941423798,0.22333288885420188,0.4841229182759271,4.846448448039014,-0.04308599228259892,2.185181154873806e-06,3.4773669993469237e-06,9.723068633754031e-06,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
18000,128,8,7.206049829598564,5.675670153730569,22.75232050515259,0.4542422944359714,0.22333288885420188,0.4841229182759271,4.815889943953592,-0.0414348941042714,2.4259743182745293e-06,4.082883538501517e-06,1.2137996817134919e-05,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
20000,128,8,6.809201138280708,5.42272953343458,22.75232050515259,0.4596943743090378,0.22333288885420188,0.4841229182759271,4.747830465489327,-0.038088154264115506,2.6231155038156562e-06,4.4030342425402795e-06,1.682787288260439e-05,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
20000,512,8,6.766968974879781,5.506663423853026,22.25258505414529,0.4501522350474261,0.23191990095801884,0.4841229182759271,4.850565554384082,-0.0292709323963153,2.609384408392207e-06,4.507510891381746e-06,1.682787288260439e-05,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
