seed,decision,vqae_lpips,vqgan_lpips,vqae_kid,vqgan_kid,vqae_rapsd,vqgan_rapsd,vqgan_better_lpips,vqgan_better_kid,vqgan_better_rapsd
0,PASS_TRANSFER_HEADROOM,0.27394813230785076,0.1262966987269465,0.11540916127921896,0.019906901820819112,0.0028567704780952776,0.0015093437946207293,True,True,True
1,PASS_TRANSFER_HEADROOM,0.27082976118981605,0.12724224505655002,0.1143314410077978,0.024701542053734205,0.002803082863637892,0.0014718586561347038,True,True,True
2,PASS_TRANSFER_HEADROOM,0.2691690272768028,0.12376215780386701,0.11123915945475682,0.022841369469937867,0.00275149156868287,0.0014275795462279346,True,True,True
