train_seed_vqgan,method_vqgan,beta_vqgan,source_index,label_vqgan,full_rmse_vqgan,centered_rmse_vqgan,psnr_vqgan,ssim_vqgan,lpips_vqgan,rapsd_vqgan,edge_sharpness_vqgan,relmeaserr_vqgan,source_vqgan,projection_norm_vqgan,pre_audit_rel_vqgan,top1_vqgan,top5_vqgan,entropy_vqgan,latent_l1_vqgan,kid_group_vqgan,train_seed_vqae,method_vqae,beta_vqae,label_vqae,full_rmse_vqae,centered_rmse_vqae,psnr_vqae,ssim_vqae,lpips_vqae,rapsd_vqae,edge_sharpness_vqae,relmeaserr_vqae,source_vqae,projection_norm_vqae,pre_audit_rel_vqae,top1_vqae,top5_vqae,entropy_vqae,latent_l1_vqae,kid_group_vqae,seed,vqae_beta,vqgan_beta
0,vqgan_refiner_nullblend,1.0,21268,-1,0.1176648885011673,0.1176648437976837,18.587062247820832,0.5783680718665851,0.1108133941888809,0.0021193184374787,0.1011947467923164,2.1536121153076243e-07,dev,0.0534238368272781,0.016332749277353287,0.390625,0.8134765625,1.2647426128387451,1.0257312059402466,0.0256952285710241,0,vqae_refiner_nullblend,1.0,-1,0.1041738539934158,0.1041725948452949,19.644825369527595,0.6100942334321561,0.2337938845157623,0.0025852993069435,0.0817658975720405,2.1380101600243506e-07,dev,0.0343492329120636,0.006401202641427517,0.587890625,0.9501953125,0.7251724004745483,0.41226089000701904,0.1150414606238774,0,1.0,1.0
0,vqgan_refiner_nullblend,1.0,21269,-1,0.0740177705883979,0.0740092173218727,22.61327999944605,0.6671701797174951,0.1921098530292511,0.0032013815158242,0.0791469663381576,2.533841723106889e-07,dev,0.0534238368272781,0.016332749277353287,0.390625,0.8134765625,1.2647426128387451,1.0257312059402466,0.0256952285710241,0,vqae_refiner_nullblend,1.0,-1,0.0612411573529243,0.0612370818853378,24.25913220949539,0.7374404289539046,0.2352009415626526,0.0031472916082197,0.0570907890796661,2.520453676879697e-07,dev,0.0343492329120636,0.006401202641427517,0.587890625,0.9501953125,0.7251724004745483,0.41226089000701904,0.1150414606238774,0,1.0,1.0
0,vqgan_refiner_nullblend,1.0,21270,-1,0.1007728427648544,0.1007728353142738,19.933129799563247,0.5329345318157733,0.21958589553833,0.0024178993743406,0.085115410387516,2.3508418678375165e-07,dev,0.0534238368272781,0.016332749277353287,0.390625,0.8134765625,1.2647426128387451,1.0257312059402466,0.0256952285710241,0,vqae_refiner_nullblend,1.0,-1,0.088377445936203,0.088377445936203,21.073171069695192,0.6148552069032546,0.286262571811676,0.0039128618055576,0.050253227353096,2.333113684471755e-07,dev,0.0343492329120636,0.006401202641427517,0.587890625,0.9501953125,0.7251724004745483,0.41226089000701904,0.1150414606238774,0,1.0,1.0
0,vqgan_refiner_nullblend,1.0,21271,-1,0.0473002903163433,0.0473002381622791,26.502723873447167,0.6662632155955885,0.1781365424394607,0.0013345082361379,0.0422230139374733,1.976153072291709e-07,dev,0.0534238368272781,0.016332749277353287,0.390625,0.8134765625,1.2647426128387451,1.0257312059402466,0.0256952285710241,0,vqae_refiner_nullblend,1.0,-1,0.0429695807397365,0.0429695770144462,27.336777675359496,0.7151237714628154,0.3035955429077148,0.0014023038870319,0.032215479761362,1.9893467140263965e-07,dev,0.0343492329120636,0.006401202641427517,0.587890625,0.9501953125,0.7251724004745483,0.41226089000701904,0.1150414606238774,0,1.0,1.0
0,vqgan_refiner_nullblend,1.0,21272,-1,0.1021926552057266,0.1017308235168457,19.811606334172843,0.6530847890107291,0.1662512570619583,0.0002605200296652,0.0636574327945709,2.411388493328559e-07,dev,0.0534238368272781,0.016332749277353287,0.390625,0.8134765625,1.2647426128387451,1.0257312059402466,0.0256952285710241,0,vqae_refiner_nullblend,1.0,-1,0.0719309449195861,0.0716398805379867,22.86168469119916,0.743587998182742,0.1588929891586303,0.000470141804844,0.0424697883427143,2.263808340785545e-07,dev,0.0343492329120636,0.006401202641427517,0.587890625,0.9501953125,0.7251724004745483,0.41226089000701904,0.1150414606238774,0,1.0,1.0
0,vqgan_refiner_nullblend,1.0,21273,-1,0.0820872709155082,0.0820872709155082,21.714483654140466,0.5602939960168684,0.1544254422187805,0.0002713154612857,0.0769086778163909,3.416303115955089e-07,dev,0.0534238368272781,0.016332749277353287,0.390625,0.8134765625,1.2647426128387451,1.0257312059402466,0.0256952285710241,0,vqae_refiner_nullblend,1.0,-1,0.064751848578453,0.064751848578453,23.77495657089202,0.6693208647499306,0.4518316984176636,0.0013691998676255,0.0463897809386253,3.475491041626811e-07,dev,0.0343492329120636,0.006401202641427517,0.587890625,0.9501953125,0.7251724004745483,0.41226089000701904,0.1150414606238774,0,1.0,1.0
0,vqgan_refiner_nullblend,1.0,21274,-1,0.0849417597055435,0.0849417597055435,21.4175749228307,0.3498743159034277,0.1754844486713409,0.0005277999866387,0.081622414290905,2.428064647119754e-07,dev,0.0534238368272781,0.016332749277353287,0.390625,0.8134765625,1.2647426128387451,1.0257312059402466,0.0256952285710241,0,vqae_refiner_nullblend,1.0,-1,0.0653393417596817,0.0653393417596817,23.696504899990316,0.4684633671415394,0.4834702610969543,0.0016691547232396,0.0315575078129768,1.823794946176349e-07,dev,0.0343492329120636,0.006401202641427517,0.587890625,0.9501953125,0.7251724004745483,0.41226089000701904,0.1150414606238774,0,1.0,1.0
0,vqgan_refiner_nullblend,1.0,21275,-1,0.1564130932092666,0.1564130932092666,16.114537906529783,0.3977401223544956,0.1968380212783813,0.006914302669308,0.1180682331323623,1.7242331296074553e-07,dev,0.0534238368272781,0.016332749277353287,0.390625,0.8134765625,1.2647426128387451,1.0257312059402466,0.0256952285710241,0,vqae_refiner_nullblend,1.0,-1,0.1387967020273208,0.1387967020273208,17.15241706211209,0.4482824837887824,0.4346454441547394,0.0094984368587864,0.0697911754250526,2.0138459433383105e-07,dev,0.0343492329120636,0.006401202641427517,0.587890625,0.9501953125,0.7251724004745483,0.41226089000701904,0.1150414606238774,0,1.0,1.0
0,vqgan_refiner_nullblend,1.0,21276,-1,0.0823289081454277,0.0823288857936859,21.68895288418065,0.5930061500982753,0.243657112121582,0.0013728414245225,0.0698789283633232,3.2209717915066e-07,dev,0.0534238368272781,0.016332749277353287,0.390625,0.8134765625,1.2647426128387451,1.0257312059402466,0.0256952285710241,0,vqae_refiner_nullblend,1.0,-1,0.0712238401174545,0.0712238252162933,22.947492290612324,0.6800411523885385,0.2882952392101288,0.0016384685690382,0.0515153929591178,2.472878577464144e-07,dev,0.0343492329120636,0.006401202641427517,0.587890625,0.9501953125,0.7251724004745483,0.41226089000701904,0.1150414606238774,0,1.0,1.0
0,vqgan_refiner_nullblend,1.0,21277,-1,0.0583867505192756,0.0583734437823295,24.67371388967113,0.7193880306862601,0.1338779181241989,0.0016564481684544,0.0536646917462348,2.6650960194274376e-07,dev,0.0534238368272781,0.016332749277353287,0.390625,0.8134765625,1.2647426128387451,1.0257312059402466,0.0256952285710241,0,vqae_refiner_nullblend,1.0,-1,0.0505144447088241,0.050502810627222,25.931688334528104,0.7581327353635561,0.3185143172740936,0.0018186116064141,0.0400040410459041,2.244272252482915e-07,dev,0.0343492329120636,0.006401202641427517,0.587890625,0.9501953125,0.7251724004745483,0.41226089000701904,0.1150414606238774,0,1.0,1.0
