rank,donor_j,donor_label_index,donor_label,donor_original_stl10_test_index,relmeaserr_uij_vs_yi,relmeaserr_xi_vs_yi,relmeaserr_xj_vs_yi,psnr_uij_vs_xi_clipped,uij_min,uij_max,clip_penalty_mean,range_penalty,quality_match_score,image,selected_image
11,1947,3,cat,6324,2.4235698991210595e-15,0.005359381186274673,0.7855457541030691,9.176681085398874,-0.0030900566338223634,0.9297766743117406,7.544083578667879e-07,0.0030900566338223634,0.2358694735293101,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank011_u_i1789_j1947_cat_clipped.png,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_selected/wrong_images/rank011_u_i1789_j1947_cat_clipped.png
118,567,5,dog,1552,1.786087554078787e-15,0.005359381186274673,0.6235477942806473,11.211698145657941,-0.0017426627746638668,0.9099339453491437,4.254547789706706e-07,0.0017426627746638668,0.8056658456447215,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank118_u_i1789_j567_dog_clipped.png,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_selected/wrong_images/rank118_u_i1789_j567_dog_clipped.png
57,1953,1,bird,3172,2.5362328068841916e-15,0.005359381186274673,0.8319060770752048,9.6648251522029,-0.020486634941889875,0.9332754774511716,2.3939444578142362e-05,0.020486634941889875,0.5794549239804669,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank057_u_i1789_j1953_bird_clipped.png,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_selected/wrong_images/rank057_u_i1789_j1953_bird_clipped.png
106,452,0,airplane,1260,2.4120739057496465e-15,0.005359381186274673,0.7536717590245244,10.229410190785039,-0.021403140471607573,0.9418451684675947,1.0722007672023647e-05,0.021403140471607573,0.7547741405164121,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank106_u_i1789_j452_airplane_clipped.png,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_selected/wrong_images/rank106_u_i1789_j452_airplane_clipped.png
31,1050,8,ship,2749,2.4097659756784954e-15,0.005359381186274673,0.7747729411202655,9.783194739874135,-0.005474658302543317,0.8877396692942039,1.3365864996443645e-06,0.005474658302543317,0.43545565948232834,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_candidate_pool/candidates/rank031_u_i1789_j1050_ship_clipped.png,/mnt/e/ns_mc_gan_gi_code/paper/figures/feasible_wrong_selected/wrong_images/rank031_u_i1789_j1050_ship_clipped.png
